"abundance","density","group"
53.6031411067968,53.2893756504932,"group_a"
52.658773941874,53.7392200096917,"group_a"
53.6647584432754,54.3390864593067,"group_a"
54.6719466101057,54.8838577361871,"group_a"
51.8798364652302,52.3883478304218,"group_a"
52.2558742121963,52.9378751171091,"group_a"
52.6919512626524,53.4121071896619,"group_a"
52.2359887881941,53.3819848839968,"group_a"
51.8952300674957,52.6662291516002,"group_a"
53.860523565085,53.7413340611875,"group_a"
52.8179191210166,53.9718043957568,"group_a"
53.0487274783134,53.2791905930927,"group_a"
53.9865404582237,54.8613295014913,"group_a"
52.1547268813235,54.068891308854,"group_a"
53.4422915633453,53.8162156433005,"group_a"
52.0024080347811,53.0468927438782,"group_a"
50.7129182884114,52.3791939422943,"group_a"
51.3552928739298,52.2792028745891,"group_a"
54.1097455763737,55.4868795287482,"group_a"
53.3541302689406,54.0612766577519,"group_a"
52.6767773784706,53.1799356702583,"group_a"
53.3567645844756,54.7985593916976,"group_a"
54.7593169102793,55.3621601326882,"group_a"
52.867952919042,54.2953747798039,"group_a"
51.9456348554533,53.395423090173,"group_a"
51.2165324057005,53.0024790432395,"group_a"
53.7569161622885,54.7673452597865,"group_a"
53.1857770017533,54.8037897712033,"group_a"
53.1706735158167,54.385461279862,"group_a"
52.8059659547481,53.4644810509134,"group_a"
53.4800726640713,54.2966548121517,"group_a"
52.9657010902867,53.8899887914652,"group_a"
52.4092650701286,53.0042079945125,"group_a"
49.9763762406061,50.9686665730352,"group_a"
53.2123841741341,54.1499929532413,"group_a"
54.0842517939936,54.602623204958,"group_a"
52.5731863343933,53.7690410318015,"group_a"
50.2577644409395,51.1677669106889,"group_a"
51.6507273137603,52.8602878516581,"group_a"
52.6060133160706,53.9520888004331,"group_a"
53.4008495055427,55.1721425449489,"group_a"
49.7281127448534,50.6170307326531,"group_a"
52.9701490494163,53.8623380971672,"group_a"
54.2402797817562,54.6628134689665,"group_a"
53.1541660648512,54.1989910358062,"group_a"
51.9775181716212,52.923375013286,"group_a"
52.818866626885,54.5138078912248,"group_a"
56.5467513969441,56.4838686129834,"group_a"
52.3546117926868,53.843248164532,"group_a"
52.0249625507618,53.7940614315688,"group_a"
52.8353729082213,53.4302852843608,"group_a"
53.2443030364617,53.3242734188201,"group_a"
53.3006224064945,54.5593391025049,"group_a"
52.8120340735182,53.3086028724637,"group_a"
51.0963422551219,52.1527709031241,"group_a"
51.9468601492744,54.5299421263056,"group_a"
52.4937795262408,53.8190173298807,"group_a"
52.6513327207892,53.8653188341037,"group_a"
53.4599901494764,54.4212240852868,"group_a"
53.1350193750995,54.3329890800758,"group_a"
52.2085145330287,54.0321301290942,"group_a"
53.9493721591213,54.9209786349806,"group_a"
53.6682072058289,54.4604269649806,"group_a"
52.8125691647828,54.1836672125347,"group_a"
53.3522871374231,55.3414362237414,"group_a"
53.4319947865379,54.0246806847125,"group_a"
53.7616087121263,54.4720543113681,"group_a"
51.8700504995397,53.336744676689,"group_a"
52.6958573578985,53.9701329073253,"group_a"
51.75974753967,54.0042457769157,"group_a"
53.3456365437221,53.3891129538201,"group_a"
53.684552609024,54.4029141266795,"group_a"
53.3453754631266,53.9219290025387,"group_a"
55.800210552684,57.1763221509999,"group_a"
50.908158492592,52.7277658046402,"group_a"
52.2084307971479,53.0307012173599,"group_a"
52.6372285847949,53.6191961547064,"group_a"
52.2422221995873,53.9403572809857,"group_a"
52.936323736289,54.260745481884,"group_a"
53.6352928186325,54.582929626008,"group_a"
51.3962702542543,52.6854604865945,"group_a"
51.0101009321235,52.1318325011834,"group_a"
52.6688577043204,53.303806326572,"group_a"
53.7831963156119,54.5208120822485,"group_a"
52.9298927581994,54.05880980114,"group_a"
53.0321532502931,55.9236183106494,"group_a"
55.2458384278424,55.3545335121825,"group_a"
54.0771901280742,54.4362058370573,"group_a"
54.1293217005869,55.3773800738444,"group_a"
54.0804967568331,55.0943959420292,"group_a"
53.974633699094,55.81207699477,"group_a"
51.902652274122,53.4806187173882,"group_a"
51.4578713198294,52.2002391844236,"group_a"
52.3826084633779,54.1473898181545,"group_a"
53.1068481460467,54.2016937425882,"group_a"
52.1995567752939,52.9610657798123,"group_a"
52.2940835204382,53.4413488092666,"group_a"
53.0663259006426,54.1230236945631,"group_a"
52.7919717169336,54.2635225015879,"group_a"
52.695804441182,53.8504763519871,"group_a"
49.6746110106627,50.2389908877059,"group_b"
48.9669560349253,50.4309777810835,"group_b"
51.6187785179897,50.9450102818964,"group_b"
50.2546394355941,49.6745009736359,"group_b"
50.9581144150151,49.2121613672554,"group_b"
49.2089193061542,49.1649308507541,"group_b"
49.3600739884737,48.3595116632119,"group_b"
49.0631312214074,49.5610782135327,"group_b"
49.8763561166873,50.0611898221703,"group_b"
51.9184877370414,52.1116745991398,"group_b"
49.619980802493,49.3637538641898,"group_b"
49.7682035656736,49.8383138202847,"group_b"
50.2628794248634,49.2632793050167,"group_b"
50.9034963547049,50.9418095364253,"group_b"
49.4766946660916,49.4040513408734,"group_b"
49.3560289996396,50.0574759771148,"group_b"
50.7359269584535,50.2652608775306,"group_b"
51.1480512785486,50.8389258896872,"group_b"
50.0051359586037,50.7747735870059,"group_b"
48.9839766077651,50.2420445992145,"group_b"
51.0349342252548,51.5744489310738,"group_b"
52.2397331379363,52.1423178111795,"group_b"
50.2601109172945,50.130538622492,"group_b"
50.4083083238351,49.8346039492389,"group_b"
50.7999619548648,51.2212902507791,"group_b"
51.7138480148079,51.1554129192445,"group_b"
49.4405324452552,49.538008935739,"group_b"
50.4555813968451,50.8857313136759,"group_b"
49.7523596916099,49.0657992348944,"group_b"
50.0129144816685,49.6186067765441,"group_b"
49.6542710706801,49.3778944063402,"group_b"
50.3935146788575,49.7804985934702,"group_b"
49.8477697988599,50.394617475725,"group_b"
49.7172724976706,49.788609866496,"group_b"
50.2534701198326,50.9358235418397,"group_b"
49.7331112905774,48.7604563510783,"group_b"
